property_address,sale_price,sale_date,city,state,latitude,longitude,zip_code
"800  N 14TH ST, Nashville, TN",72500,2013-01-02,NASHVILLE,TN,36.18434,-86.744531,37206.0
"711  SKYVIEW DR, Nashville, TN",159900,2013-01-24,NASHVILLE,TN,36.1832855,-86.7291631,37206.0
"1206  ORDWAY PL, Nashville, TN",225000,2013-01-29,NASHVILLE,TN,36.1803528,-86.7478112,37206.0
"204  N 18TH ST, Nashville, TN",173000,2013-01-23,NASHVILLE,TN,36.1781132,-86.737714,37206.0
"1900  OAKHILL DR, Nashville, TN",235000,2013-01-10,NASHVILLE,TN,36.1758498,-86.7358003,37206.0
"810  RIVERSIDE DR, Nashville, TN",215000,2013-01-28,NASHVILLE,TN,36.262762,-86.644558,37138.0
"1518  RUSSELL ST, Nashville, TN",388565,2013-01-10,NASHVILLE,TN,36.1745007,-86.7438935,37206.0
"843  BETH DR, Nashville, TN",241000,2013-01-24,NASHVILLE,TN,36.1807004,-86.7106575,37206.0
"1012  DEW ST, Nashville, TN",64000,2013-01-15,NASHVILLE,TN,36.1662421,-86.7520572,37206.0
"919  S 14TH ST, Nashville, TN",98000,2013-01-03,NASHVILLE,TN,36.1641956,-86.7466664,37206.0
"921  S 14TH ST, Nashville, TN",50100,2013-01-30,NASHVILLE,TN,36.1641693,-86.7466678,37206.0
"904  LIVINGSTON ST, Nashville, TN",65200,2013-01-24,OLD HICKORY,TN,36.261737,-86.6535645,37138.0
"33  LAKESHORE CT, Nashville, TN",217000,2013-01-18,OLD HICKORY,TN,36.2462588,-86.6347888,37138.0
"3253  LAKESHORE DR, Nashville, TN",85000,2013-01-09,OLD HICKORY,TN,36.2396756,-86.6267807,37138.0
"4517  S TRACE BLVD, Nashville, TN",144500,2013-01-09,OLD HICKORY,TN,36.2215847,-86.6322123,37138.0
"125  DEKEWOOD DR, Nashville, TN",375000,2013-01-18,OLD HICKORY,TN,36.2364584,-86.6237281,37138.0
"4312  WOODS ST, Nashville, TN",77000,2013-01-18,OLD HICKORY,TN,36.2194838,-86.6229048,37138.0
"4856  SHASTA DR, Nashville, TN",115000,2013-01-18,OLD HICKORY,TN,36.0839915,-86.7171257,37211.0
"2612  PLEASANT GREEN RD, Nashville, TN",109900,2013-01-11,NASHVILLE,TN,36.2145434,-86.6848227,37214.0
"404  BONNAWOOD DR, Nashville, TN",78600,2013-01-08,HERMITAGE,TN,36.2025168,-86.6308891,37076.0
"229  BONNABROOK DR, Nashville, TN",140000,2013-01-23,HERMITAGE,TN,36.1963131,-86.6315039,37076.0
"813  BRADLEY PL, Nashville, TN",47025,2013-01-03,HERMITAGE,TN,36.1979024,-86.5999582,37076.0
"2128  DEARBORN DR, Nashville, TN",73500,2013-01-11,NASHVILLE,TN,36.171089,-86.702831,37214.0
"112  BLUE HILLS CT, Nashville, TN",125000,2013-01-18,NASHVILLE,TN,36.1730673,-86.6877352,37214.0
"2530  PARK DR, Nashville, TN",86000,2013-01-28,NASHVILLE,TN,36.1716305,-86.6783721,37214.0
"6003  BALTIC DR, Nashville, TN",83500,2013-01-09,HERMITAGE,TN,36.1914469,-86.6211394,37076.0
"6015  CORTEZ CT, Nashville, TN",110000,2013-01-15,HERMITAGE,TN,36.1920669,-86.6199013,37076.0
"4320  CENTRAL VALLEY DR, Nashville, TN",104900,2013-01-18,HERMITAGE,TN,36.173855,-86.5898434,37076.0
"4221  NEW HOPE MEADOW RD, Nashville, TN",150000,2013-01-15,HERMITAGE,TN,36.1907852,-86.5775406,37076.0
"205  FAIRWAY DR, Nashville, TN",165000,2013-01-09,NASHVILLE,TN,36.1678869,-86.6821135,37214.0
"133  SPRING VALLEY RD, Nashville, TN",147000,2013-01-07,NASHVILLE,TN,36.1656205,-86.6739095,37214.0
"530 A  WANDA DR, Nashville, TN",100000,2013-01-17,NASHVILLE,TN,36.1535405,-86.6970083,37210.0
"279  CUMBERLAND CIR, Nashville, TN",205000,2013-01-30,NASHVILLE,TN,36.1632041,-86.666054,37214.0
"2913  TEAKWOOD DR, Nashville, TN",95000,2013-01-11,NASHVILLE,TN,36.1574632,-86.6579214,37214.0
"2729  NODYNE DR, Nashville, TN",48000,2013-01-17,NASHVILLE,TN,36.1522149,-86.6698487,37214.0
"5717  S NEW HOPE RD, Nashville, TN",207000,2013-01-18,HERMITAGE,TN,36.1557443,-86.5862943,37076.0
"918  CONNELLY DR, Nashville, TN",89000,2013-01-11,NASHVILLE,TN,36.1283055,-86.7018017,37217.0
"1210  CATINA DR, Nashville, TN",55000,2013-01-15,NASHVILLE,TN,36.1264609,-86.7023908,37217.0
"1026  PATIO DR, Nashville, TN",107000,2013-01-29,NASHVILLE,TN,36.1467612,-86.6402763,37214.0
"1024  PATIO DR, Nashville, TN",107000,2013-01-29,NASHVILLE,TN,36.1466239,-86.6403363,37214.0
"1512  TRAILWOOD CT, Nashville, TN",182000,2013-01-10,NASHVILLE,TN,36.1358174,-86.6367232,37214.0
"1013  PLEASANT VIEW DR, Nashville, TN",93000,2013-01-07,NASHVILLE,TN,36.1283045,-86.6364776,37214.0
"824  NORWALK DR, Nashville, TN",81600,2013-01-18,NASHVILLE,TN,36.148021,-86.629308,37214.0
"1212  VULTEE BLVD, Nashville, TN",86500,2013-01-17,NASHVILLE,TN,36.1238338,-86.7032402,37217.0
"726  ROBERT BURNS DR, Nashville, TN",165000,2013-01-25,NASHVILLE,TN,36.1201782,-86.7092508,37217.0
"728  ROBERT BURNS DR, Nashville, TN",120000,2013-01-18,NASHVILLE,TN,36.1201318,-86.7091465,37217.0
"500  DUNAILIE DR, Nashville, TN",125000,2013-01-29,NASHVILLE,TN,36.1138309,-86.7040937,37217.0
"2412  BAYVIEW DR, Nashville, TN",125000,2013-01-18,NASHVILLE,TN,36.093982,-86.6265819,37217.0
"525  CASTLEGATE DR, Nashville, TN",152000,2013-01-02,NASHVILLE,TN,36.087379,-86.6143875,37217.0
"1012  CARLA CT, Nashville, TN",53300,2013-01-14,NASHVILLE,TN,36.0833048,-86.6121984,37217.0
"2615  EDGE O LAKE DR, Nashville, TN",139500,2013-01-28,NASHVILLE,TN,36.0819598,-86.6369656,37217.0
"3261  ANDERSON RD, Nashville, TN",123900,2013-01-08,ANTIOCH,TN,36.077021,-86.607517,37013.0
"1200  HUNTINGBORO CT, Nashville, TN",107000,2013-01-18,ANTIOCH,TN,36.072983,-86.595476,37013.0
"4457  WINTON DR, Nashville, TN",144900,2013-01-07,ANTIOCH,TN,36.0559767,-86.6557423,37013.0
"5016  SUNSHINE DR, Nashville, TN",147362,2013-01-30,ANTIOCH,TN,36.0308753,-86.5871101,37013.0
"1006  10TH AVE N, Nashville, TN",195000,2013-01-04,NASHVILLE,TN,36.1712792,-86.7939222,37208.0
"71  CLAIBORNE ST, Nashville, TN",15000,2013-02-05,NASHVILLE,TN,36.1474934,-86.7612499,37210.0
"33  TRIMBLE ST, Nashville, TN",47500,2013-02-12,NASHVILLE,TN,36.146114,-86.760438,37210.0
"1711  STEWART PL, Nashville, TN",212000,2013-02-08,NASHVILLE,TN,36.1361157,-86.7713948,37203.0
"1713  ALLISON PL, Nashville, TN",220000,2013-02-19,NASHVILLE,TN,36.1350526,-86.7691583,37203.0
"1977  LAVERGNE CT, Nashville, TN",133450,2013-02-13,NASHVILLE,TN,36.128507,-86.7323444,37210.0
"2826  HARTFORD DR, Nashville, TN",216000,2013-02-28,NASHVILLE,TN,36.1108884,-86.733157,37210.0
"500  RADNOR ST, Nashville, TN",85000,2013-02-07,NASHVILLE,TN,36.105322,-86.744885,37211.0
"2928  WINGATE AVE, Nashville, TN",164900,2013-02-13,NASHVILLE,TN,36.1077671,-86.7346619,37211.0
"215  RADNOR ST, Nashville, TN",125000,2013-02-25,NASHVILLE,TN,36.1048277,-86.7389029,37211.0
"211  RADNOR ST, Nashville, TN",165102,2013-02-08,NASHVILLE,TN,36.1048234,-86.738847,37211.0
"302  SUNRISE AVE, Nashville, TN",58000,2013-02-15,NASHVILLE,TN,36.1038909,-86.7389081,37211.0
"152  LAKE PARK DR, Nashville, TN",129900,2013-02-15,NASHVILLE,TN,36.1049813,-86.7269677,37211.0
"3313  COLBY DR, Nashville, TN",82000,2013-02-15,NASHVILLE,TN,36.0981583,-86.7284885,37211.0
"3718  GRUBBS RD, Nashville, TN",71000,2013-02-19,NASHVILLE,TN,36.0934302,-86.7256719,37211.0
"3830  SAM BONEY DR, Nashville, TN",107900,2013-02-26,NASHVILLE,TN,36.0889572,-86.727241,37211.0
"3712  VALLEY RIDGE DR, Nashville, TN",125700,2013-02-11,NASHVILLE,TN,36.09264,-86.7230086,37211.0
"324  RANDALL DR, Nashville, TN",240000,2013-02-28,NASHVILLE,TN,36.0706575,-86.7523043,37211.0
"4932  BRIARWOOD DR, Nashville, TN",174000,2013-02-01,NASHVILLE,TN,36.071991,-86.749056,37211.0
"5035  MARCHANT DR, Nashville, TN",325000,2013-02-28,NASHVILLE,TN,36.0674058,-86.7494177,37211.0
"5044  SUTER DR, Nashville, TN",179900,2013-02-20,NASHVILLE,TN,36.0706414,-86.7371845,37211.0
"5119 A  BRIARWOOD DR, Nashville, TN",142000,2013-02-12,NASHVILLE,TN,36.0680687,-86.7384524,37211.0
"520  LEEANNE DR, Nashville, TN",142500,2013-02-14,NASHVILLE,TN,36.0665031,-86.7270682,37211.0
"4958  HOPEDALE DR, Nashville, TN",115000,2013-02-25,NASHVILLE,TN,36.0709226,-86.7162331,37211.0
"355  MARGO LN, Nashville, TN",125000,2013-02-08,NASHVILLE,TN,36.0702478,-86.7044904,37211.0
"5608  HEARTHSTONE LN, Nashville, TN",300000,2013-02-07,BRENTWOOD,TN,36.0457577,-86.7635195,37027.0
"407  HILL RD, Nashville, TN",123000,2013-02-01,NASHVILLE,TN,36.0458602,-86.7474803,37220.0
"5028  SHIHMEN DR, Nashville, TN",82620,2013-02-20,ANTIOCH,TN,36.0532213,-86.6840541,37013.0
"218  ASH GROVE DR, Nashville, TN",132000,2013-02-22,NASHVILLE,TN,36.048989,-86.700205,37211.0
"6024  DEER TRCE, Nashville, TN",340000,2013-02-11,NASHVILLE,TN,36.0361636,-86.7346792,37211.0
"5209  NEVADA AVE, Nashville, TN",250000,2013-02-13,NASHVILLE,TN,36.1483149,-86.8499136,37209.0
"315  51ST AVE N, Nashville, TN",432000,2013-02-26,NASHVILLE,TN,36.149655,-86.848524,37209.0
"4509  ELKINS AVE, Nashville, TN",331000,2013-02-15,NASHVILLE,TN,36.1499308,-86.8410033,37209.0
"4000  DAKOTA AVE, Nashville, TN",225000,2013-02-15,NASHVILLE,TN,36.1485045,-86.8338456,37209.0
"4303  NEVADA AVE, Nashville, TN",625000,2013-02-25,NASHVILLE,TN,36.1487424,-86.8383532,37209.0
"319  CHAMBERLIN ST, Nashville, TN",367000,2013-02-12,NASHVILLE,TN,36.1479275,-86.8300075,37209.0
"6609  WILHUGH PL, Nashville, TN",247000,2013-02-19,NASHVILLE,TN,36.1371737,-86.8801404,37209.0
"873  W HILLWOOD DR, Nashville, TN",205000,2013-02-21,NASHVILLE,TN,36.1303278,-86.8829334,37205.0
"5703  MAUDINA AVE, Nashville, TN",130000,2013-02-15,NASHVILLE,TN,36.1444629,-86.8598992,37209.0
